Smiles,NumAtoms
C=NN=CNC(=O)CC(=CNC)[N+](=O)[O-],14
CC=CC=C(C)NC(=O)C1Cc2ccccc2CN1C(=O)c1ccc(S(N)(=O)=O)cc1Cl,31
O=CC=CC=CC=CO,32
O=CNC=CCC(=O)N1CCCCC1CNC(=O)C=CC(Cl)=CCl,23
CC=CC(=O)NN=CCC,9
CCc1ccc2c(c1)OC1C=CC(C)(O)C(=O)C1(C)C2CCC=CNCC=CC=C(C)OC,32
CC(C)NCC(O)COc1cccc2c1C(C)(C)OC2,19
CCCN(C=O)Cc1ccc(I)cc1,13
O=CO,11
CNS(=O)(=O)CC=CNc1cccnc1C,15
CCCCOC=CCC(=O)NCCN,13
CNc1cc(-c2noc(=O)c(Oc3ccccc3)n2)cc(COC)n1,24
COCC(CCN(C)C)N(C(=O)c1ccc(O)c2c(=O)c3ccc(O)cc3oc12)c1ccccc1,34
O=C(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1F)c1cc2c(c(F)c1Cl)C(F)(F)N2c1c[nH]c(=O)[nH]c1=O,39
CC1=N[SH](Cl)(Cl)(Cl)C(Cl)(Cl)C(Cl)(OCl)N1C(Cl)(Cl)N(Cl)C1=NC(Cl)C(Cl)(Cl)N1Cc1c(Cl)c(Cl)nc(Cl)c1Cl,38
Clc1cccc(Cl)c1,33
COc1ccc(-c2ccncc2)c(-c2cccc3c2CCCC3OC2CC2OC)c1NC(=O)c1ccc(Cl)cc1,39
O=CO,15
C=C(C)C=CNc1ccccc1NC(=O)CNCC(C)C,20
CC=CCCNCn1nc(C2CC2)cc1NCC=CC,19
CC(NC(=O)C=CC=CN)c1ccc(Cl)cc1,16
O=C1CC2CCC3(O)C4C=CC(C4)C3C(C1)C2,16
CS(=O)(=O)CCn1cnc2c(F)cccc21,15
C=CNCC(=O)Nc1cc(C=Cc2ccc3nc(N)nc(N)c3c2)ccc1N(CC)CC,31
N[PH](=O)Oc1ccccc1F,10
CC(C)Oc1ccc(Cl)cc1,10
OC(CN1CCC(c2cc3c4cc2ccc4=NOC(c2ccccc2Cl)=C3C(F)(F)F)CC1)C(O)(CF)C(F)(F)F,40
Cc1cccc(-n2nc(C)c(-c3c(C(C)(Cl)C(=O)OC(Cl)(Cl)Cl)cc(O)c(OCl)c3Cl)c2SCc2ccccc2)c1,40
C=CC=CC(CC)(CO)N(Cl)S(=O)(=O)c1ccc2[nH]nc(C(C)C)c2c1Cl,26
Fc1c(-c2ccc(Br)cc2)cnn1C=NCc1ccc(Cl)cc1,22
CC(C)(C(=O)O)C(C)(c1n[nH]c(Nc2nn3c(-c4cccc(Cl)c4)cc(OC4CCNCC4)c3s2)n1)C(F)(F)F,39
O=[N+]([O-])C=CC=CF,33
CC=CNC1=Nc2ccccc2N(c2ccccc2)N=C1C(=O)NC(C)C,26
CC(=O)OC=CC=CS(=O)(=O)N=CSC=CCCN,18
O=C(Nc1ncc(CN2CCCC2)s1)c1ccc2c(c1)-c1c(cc(Cl)c(CC(F)(F)F)c1Cl)S2(=O)=O,35
CC=CN=C(N=CN)NCCCCc1ccco1,17
CC=CC=CC=CC=CNC(S)=NCC=CC=CC(C)(C)C,21
CC(C)Oc1ccccc1NC(=O)CCCCCNc1ncnc2c1CCN(CC1CCOC1)CC2,35
COc1ccc(C(OS(C)(=O)=O)C(=O)Nc2ccc(N3CCOCC3)cc2)cc1OCC1COC(=O)C=C1O,38
Cc1nc2c(Cl)c(n1)C13Cc4cc(c(nc4C)-c4c(C(=O)NCCC(=O)O)cc(Cl)c(c4Cl)N2)-c2cc1cc3c2Cl,40
O=Cc1ccccc1,13
C=CC1C2CC3CC(C2)CC1(Cc1ccc(CC)c(NC(=O)Cn2nnc4ccc(Cl)cc42)c1)C3,34
COc1cc(Cl)c(C=C2C(=O)Nc3ccc(-n4c(=O)ccn4C)cc32)c(C=O)c1OC(Cl)C(O)CC(O)CO,38
CCC(=O)NC=CC=CS(=O)(=O)NCCCC=CNC,19
CSC1CC(Cl)c2cc(Cl)c(NC(=O)C(C)N3C(=O)OC(C)(C)C3=O)c(Cl)c21,27
O=C(c1cccc(-c2ccccc2)n1)c1cc(O)nc(-c2ccccc2)c1C(=O)NO,30
COCC1(C)C(=O)OCC23Cn4c(cc(=O)n(C)c4=O)-c4ccc(O)cc4C12CON3C(C)=O,33
CCNS(=O)(=O)C=CC=COC,11
Cc1cccc(C=Cc2ccc3c(c2)S(=O)c2cccc(C4CCCCN4C)c2C3=O)c1O,32
Nc1ccc2c(c1)C(=C1C(=O)NC(=O)N(C3CCCC3)C1=O)C(=O)N2c1ccccc1,30
CCC(=O)CCC(C)CC(CO)(CO)CCC=C(C)CCC1C(C)CCCC1(CC)CN,31
COc1cc2c(O)nc3cc(N4CCN5C6OCC7(C)OC8(OC(Cl)C5(Cl)C4(Cl)Cl)C7C68Cl)ccc3c2c(Cl)c1F,40
CCCC(=O)n1ccc(C(=CC=C(CN2CCNCC2)C(C)=O)C(=O)NCc2nc(-c3ccncn3)ns2)c1,38
CC(CC(c1cccnc1)N1CCN(c2cccc(F)c2)CC1)NC(=O)c1ccccc1OC(F)(F)F,36
CCCCNC(=O)C(C)(CCN)NC(=O)OC,16
CC=CCNC=NCC(F)(F)F,11
C=CC(=O)OCCC(C)(C)CCCC(C)CC,16
CC=CC(C)=CNC=CCN(C)CCOC,15
O=CC=Cc1ccccc1,38
O=C1NC2=C(CCC3(C2)C(=O)Nc2ccccc23)C(F)=NN1C(=O)c1ccc([N+](=O)[O-])cc1C(F)(F)F.[Na+],39
CC=CC(CCC=CC=CC(=O)NC(C)N)C(=O)NCCCN1CCCC1,26
C=CS(=O)(=O)N(CCN(C)C)Cc1ccccc1Br,18
C=C(Cl)C=COc1nn(-c2ccc(Nc3nc(-c4ccccc4)nc(N4CCOCC4)n3)cc2)cc1Br,36
CCNC=CC=CC(=O)NCCC(N)=O,14
CC1(c2cccc(-c3ccc(CN)o3)c2F)C(=O)Oc2nc(CCl)oc2C(=O)N1C=O,30
C=CCN(CC=C)CNC(=O)C=NO,13
C=Cn1cccc1-c1ncncc1OCC=C(C=COC)OC,22
CCc1cc(C(=O)Nc2ccc(Cl)c(SCC(=O)Nc3nnc(C)s3)c2)ccc1OC,30
CC(C)CNS(=O)(=O)c1ccc(Cl)cc1,14
COCC(N)C(=O)N1CCC(c2ccccc2)C1=O,18
COC(=O)C1=C(O)C=Cc2c(cc([N+](=O)[O-])c3c(N4CCOCC4)cc(O)cc23)C1c1cccc(C(=O)O)c1,38
CC(=O)C=CC(O)COC(C)=O,11
Nc1c(-c2ccncc2Cl)n(CCCN2CCCCC2)c2cc(-c3nc4cc(Cl)ccc4o3)ccc12,35
CC(CC(C(C)C)C1CCN2CCC3(CC12)NC(=O)NN=C3c1ccccc1F)C(=O)OCc1cccc(Cl)c1,39
Fc1ccc(Nc2nc(CC=CC=CBr)c[nH]2)cc1,18
NC1(C(=O)Oc2ccccc2C(=O)O)Cc2ccccc2N(C2C=CC(O)CC2)C1c1ccccc1F.[Na+],37
NC(=O)c1c(COc2ccc3ccccc3c2)nc2n1C(c1c(Cl)cccc1Cl)N2C=CC=CCl,34
CC(=O)NN=Cc1cccc2c1-c1ccccc1CN2S(=O)(=O)C(C)C,25
CC(C)c1c(C(=O)NN=Cc2cccnc2)nnn1C12CC34CC(O)(CC1(C3)OC4CO)C2=O.[Na+],35
C=CC=CC(=O)OCC=CCCCCCCCC=CCCCCCCCC,26
Cc1ccc2c(nc(Nc3cc(Cl)c(C#N)cn3)n2Cl)c1-c1nc(-c2c(Cl)cnc(Cl)c2Cl)no1,34
COC=CCOCCCNC(=O)CNC(=O)c1ccc2c(c1C)CCO2,25
C=CNc1ccccc1C(=O)Oc1c(C)ccc(Oc2ccc3cn[nH]c3c2)c1C(=O)CC,32
C=Cc1c(C)cc(OCC(=O)N2CCCCC2c2ccon2)cc1C(C)(C)CCCCc1ccccc1,36
ClC(C=CCOc1ccccc1)c1ccc(CN2CCCCC2)nc1,24
CC(F)=C(Cl)C=CS(=O)(=O)NCCNC(=O)CNCCNC(=O)Nc1ccccc1,29
