Smiles,NumAtoms
CC(CCO)C(F)F,7
CCCC,3
C#C,6
CC12CC(C1)[NH+]1CC12,7
CC1=C(C=O)NC=C1,7
CC(CO)C(N)=O,6
COCCO,4
C#C,3
OCCC1CC2C[NH+]1C2,8
CC(O)C(C)C1CC1C,8
CNC=O,3
CCC1CC1OC,6
CNC=CN,4
CC1CC2C3CC2C3C1,8
CCNC=N,4
C=NCC(O)C#N,6
CC=CCC,4
CCCCC#N,5
O=CC1=CCC2C(=O)C12,8
CCCCCC,5
CCC=NNCN,6
C1=CC23OC4C(C1)N2C43,8
C=CCC,3
C#CC=O,4
CCC1C[NH2+]C(C=O)O1,8
CCN(C)C(=O)OC,7
CCCC,3
N#CC1(O)CCOC1,7
CCC1CC1C,5
CC(C)N,3
C#C,5
CC12CC3OC(=O)C31C2,8
CCCCCC,5
C#C,8
CC1NC1C,4
CCC(C)OC,5
CC1C2C(=O)N3C1C23,7
C=C(C)CC1CN1,6
CNC(=O)CC[NH2+]C,7
N#CC=CCN,5
COCC=O,4
OCC1C2CCC12O,7
CCCC=CCCC,7
CC1NC1C,4
CCNN=C(C)N,6
CC=CCO,4
CCOC,3
NC=C(O)C1CN1,6
CC1CO[CH+][NH2+]1,5
CCNCC,4
CC=NNC[NH-],5
NCCNCC=O,6
COCC(O)C#N,6
CCCCCC[NH-],6
C#C,6
C=NCC,3
O=CC1CCOCO1,7
CC12CCC=CC1CC2,8
C[NH+]1CC1(C)C,5
O=CO,4
O=CCCO,4
COCC1NC(=O)C1C,8
N#CCOC1CCC1,7
CCCC=O,4
CCOC1CCC1,6
C=CC#CC,4
C#C,6
CC1NCC1O,5
C[NH2+]CCC=O,5
CCC=CCO,5
C1COC1,3
C1CNC2CC2[NH2+]C1,7
O=C1OCC2=NOC=C12,8
CC1(C)C[NH+]1CCN,7
CC1CC=CC1(C)O,7
O=C1C2CCC2C12CC2,8
CCC(C)C(C)C(C)=O,8
O=CC=CO,5
CC12C[NH+]1CC2=O,6
CCCC,3
CC1(C)CC2C(=O)NC21,8
C1=NC=NC2=NOC=C12,8
CC#CCCOC,6
C#C,4
CCCOC[NH-],5
C=COCC,4
CCCC,3
C#C,6
N#CC1(NC=O)CC1O,8
CCC=O,3
CCCCO,4
CCNCC1CN1,6
CCCC(C)O,5
CN=CCN,4
O=CNC1COC1,6
C=CCCO,4
CCC=O,3
CC1C2CC3(C)OC3C12,8
OC12C3C=CC1C2O3,8
CCCC(O)CO,6
CCCC,3
CC1CC[NH+]2CC12,6
C#C,4
CC=CO,3
C#C,4
CC#CCC1CC1C,7
C=CCN=COC,6
C[NH2+]CCN,4
CC=NC(O)C#N,6
O=C1CCCNC1,6
CC1CCC(C2CC2)O1,8
CN=CNCCO,6
C#C,6
CCC1CCC2OC12,7
CC(CCO)NO,6
CC1=CCCC1O,6
CCCC#CCC(N)=O,8
OC=CO,4
CC=CN,3
CC1=NC2=C3C=NN2N13,8
CNC1=CNC=C1N,7
CCC=CCO,5
C#C,6
C1=CC23CC4C(C2)C43C1,8
O=CNC1CC=CC1,7
CN1C=NC=C1N=N,7
CC1CCC1C,5
N#CCOC=O,5
CC1CCC1,4
[NH-]CNCCCO,6
OC1CC2C=CC1CO2,8
CC12CCOC(C1)C2,7
CCC=CO,4
OC1CCC23CC4C2C143,8
CNCCO,4
C[NH2+]CN,3
CCCC,3
CCC=CC=COC,7
CCCNC=O,5
CC1C2CC1(O)C2C,7
CC1CNC(=O)OC1,7
CC1(CC(N)=O)O[C+]1N,8
CCC(C)C1=CC=CO1,8
CNC(=O)OCC=O,7
CCCC,3
CCNC=O,4
CN=CC#N,4
CCCC(C)C#N,6
CCC=O,3
CCC=O,3
CC1(C#N)CC1,5
CCCCC#N,5
CCCN,3
N#CC1CCCCC1,7
CCOC,3
CCC(O)CO,5
C#C,3
CCCO,3
CC1C[NH+]2CC23C(=O)C13,8
CCCO,3
C=CCOC,4
CCC(O)C(=O)C1CC1,8
CCC=O,3
C[NH+]1CC1C=O,5
CC=CC1CNC1=O,7
C#C,5
CNC(C)=O,4
COC1C2C3CC2C31,7
C#C,7
CC(C)O,3
C#CC=O,6
CCC(CC)(CO)CO,8
N#CCNC1CC1N,7
COC12CC3C(=O)C1C32,8
CC(=O)C1(C#N)CC1O,8
CC1OCC2CC3C2C13,8
OC1CC1,3
[NH-]C1=CN=C(N)N=N1,7
CC1=CC2CC(C)C2C1,8
C#C,4
CCNC1CC1OC,7
CCC1(O)CC1O,6
CC1CC12CCOC2[NH-],8
CCC#N,3
CCCOC[NH-],5
CCC=O,3
C#C,3
C=CCCC,4
N=COC[NH-],4
CC#CCC,4
CC=CN=CC=O,6
COC(C)CC(C)C,7
CC1C[NH+]1C(C#N)C#N,8
COCC(C)C,5
C1COC1,3
CCCCCC,5
CC12CC1C1CC2C1,7
CC1CCC2(N)C(=O)N12,8
C#C,3
CCCC,3
[CH2+]OC(C)CC#CC,7
CC1CCC1O,5
C=CNC,3
CC[NH2+]C,3
CCC#N,3
C#C,7
C#C,7
CC1=CC(=O)COC=N1,8
CC1[NH2+]CC1O,5
C1CC2C3C1C2C31CC1,8
CCNC(N)=O,5
N#CCNC=N,5
COC1=CN=CN=C1F,8
CCC=CCCC,6
CCCC,3
C#C,6
CC[NH+]1CCOC1,6
CCC(C)C,4
CC(O)CC=O,5
[NH-]C1NCC(=O)N1,6
C#C,8
OC1CC2CCC2C1,7
CCCO,3
CC1CC(=O)C1C,6
CCCC#N,4
OCC1C2NC34CN3C124,8
CCCOC,4
N#CC1CCOC1=O,7
CC(=O)NC(C)(C)C,7
OCCCO,4
CC(C)C,3
C#C,3
CCC1CCCO1,6
CCCC,3
OCC12CCOC1C2,7
CCCC[NH2+]CC,6
CCCOC,4
CC1C2CCCC12C,7
CCOC(=N)NC=O,7
CCCCC,4
CC(C#N)C1CN1,6
CCCC,3
CCCCC,4
CC1C[NH+]1C,4
CN=NNC,4
CCOCCO,5
O=C1CC2(CO2)C1,6
CC1C(NC=O)C2C[NH+]12,8
CC1OCC=C1N,6
N#CC1OC=NCC1=O,8
CC12OC3C1CC32C=O,8
CC(C)CC#N,5
COCC1OC1C,6
CCO[CH+][NH-],4
CC1C=CC2[NH2+]C2C1,7
CC=CNCC,5
CCC1CCC(C)O1,7
NC1=C(N2CC2)C2=NN21,8
CC1CC2COC12,6
O=CC=O,8
CC1=CCC(CO)OC1,8
CC1CNC(C#N)C1=O,8
NCCO,3
CC1CC(=O)N1C,6
CCC#N,3
C#C,8
C=CC=O,3
COC1CCC1,5
CC=CC(C)O,5
C=CC=O,3
CNCNN,4
CC=CCC,4
C#CC(C)=O,4
C#C,3
CC[NH2+]CC,4
C=CC=O,3
CCCC(N)=O,5
C=CCC,3
CC[NH+]1CC1(C)O,6
CC#CCOC,5
CC1OC2CNC1C2,7
COCC1=CC(O)=CO1,8
CCC1COC1,5
C1=NC(C[NH+]2CC2)CC1,8
CCCC=CCC=O,7
CC1C(C)C1CN,6
[NH3+]CC=O,3
CCOCC,4
CCCCOC,5
CC=C(O)CO,5
C#C,7
CCCCCC,5
N#CC[NH+]1CC1CC=O,8
COC(C)CO,5
C=C(C)C=CNC,6
N#CCOCC1CC1O,8
[CH2+]N=C[NH-],3
CCC=O,3
O=CO,7
COCCCO,5
CCCC1=CC=NN1,7
CC1C2CC1C2O,6
C1COC(C2CO2)=N1,7
OC1CC2[NH2+]CC12,6
NC(=O)COCO,6
CCC(O)CC=O,6
CCCCCC,5
CC(O)OCC=O,6
CC1CCC(O)C1C,7
CC(C)C1(C)CCO1,7
CNC(=O)N1CC1,6
CN=CC=CNC,6
CC1C2C(O)C2C12CC2,8
C=NC=CCC,5
CCC1(C)CC=CC1,7
CC=CCO,4
CCNC=O,4
C#C,4
C#C,6
[NH-]C=CO,3
OCCO,3
OC1C=CCCC1,6
C[NH+]1CC([NH+]2CC2)C1,7
N#CC12CC1C(CO)O2,8
CC1CC(=O)CO1,6
CCC(=O)CC#N,6
C=CC[NH2+]CC,5
CCC1CC1,4
NC=NOC=O,5
C[NH+]1CC=CCCC1,7
O=CCC=CCO,6
CCCC(O)(C#N)CC,8
CC1C[NH+]1C,4
C#C,8
C#C,3
CC(O)CCN,5
CCOC1CC2NC21,7
CC#CC#N,4
N#CCCOC1CC1,7
CCC1(C)OC2C3CC321,8
CC1C2(O)C3C4CC12C43,8
C[NH2+]CN=C(C)O,6
CC1C=CC(C)(O)C1,7
CC=CC=CCC,6
CCCC=O,4
CCCC1CC1C,6
CCCNC=CN,6
CCCOC,4
CCC#CCCC,6
C#C,8
CCNC=O,4
C#C,5
CC(C)=O,3
CC1CC1O[CH+][NH-],6
CC1C[NH+]1CC[NH3+],6
O=CNC1=NC=CO1,7
CC(N)CC#N,5
CC[CH-]CCC,5
CN=C(N)C=NC=O,7
C=CCO,3
CC#CC1CCC1O,7
O=C1COC2CC3C2N13,8
CCCCC,4
C#C,3
C1=CC2=C(C=N1)NN=C2,8
CCC1C=CCC12CO2,8
C#C,7
CC12CCOC1CC2,7
CCC=CN,4
C=CC(N)=COCC,7
O=CO,5
CCOC,3
CC=CCCC,5
CNC(C)C#N,5
CNC1=CC=CN1,6
CCCC#N,4
C#C,7
CC1CC1CCC=O,7
CC1=C(C#N)NC=C1,7
O=CC(O)CCC1CC1,8
N#CCC[NH2+]CC=O,7
C#C,7
COCC=CCO,6
NC=NCO,4
[NH-]C1=[NH+]C(=O)OC=C1,7
CC1CCCCCC1,7
O=CCC=CCCO,7
C1=CCCC2CC2C=C1,8
CCCCC=O,5
N#CC=O,3
C#C,5
CCCOC[NH-],5
C#C,3
CC=CN,3
COC(C)COC=O,7
CC1CC1C=O,5
CC#CC,3
CC#CCC,4
CCCC=O,4
C=NCCC,4
CC(N)C#N,4
O=C1NC=C2C(O)CN12,8
C1=CC2OC(C1)C1OC21,8
CCOC(C)[NH-],5
CCCC1CC1C,6
CNC=NC(C)C,6
CC(C1CO1)C1CO1,7
CNC(C)=O,4
CCC(=O)NC,5
C#C,4
CC1C2CC3OC3C12,7
O=CO,6
CCCOCC,5
CC[NH+]1CC1C1OC1C,8
COC(C)(C)C=O,6
OCCC=C1COC1,7
C=CC=CN,4
CC(=O)C=CCO,6
CCC1CC1(C)C,6
CCCO,3
CC1(C#N)CC1(O)CO,8
NCCC(=O)NN,6
C#C,4
CC#CC(C)=O,5
CC#CC,3
C#C,7
COCCCO,5
CC1CC2[NH2+]C12,5
CCNO,3
CC=CC=CC,5
CCC(C)O,4
CCCC,3
CCC(=O)N1C=NN=N1,8
CC1CC1C,4
C#C,6
CC1CC1,3
COCC(O)C1CC1,7
CCC(C=O)CC,6
CCCOC,4
CCC(C)C1CN1,6
CC=COC,4
C#C,6
CCCC,3
O=C1CC2COC12,6
C[N+]1=NC=CC=C1,6
CC=CN,3
C#C,8
CCCN,3
O=CCC(O)C=O,6
CC1NC1(C)C1CC1,7
CCC#N,3
CC1=CCOC1C,6
CCC(C)CC#N,6
C#C,3
CC1C[NH+]1C,4
C=CC(C)=O,4
CCCCCC=O,6
OC1C2OC13C1OC3C21,8
CCCCCOC,6
CC1CCC(C)(O)C1,7
C#C,5
CCCOC,4
N=NC=CN=CN,6
C[N+]12CCC1C(=O)C2[NH-],8
C=NC=CC,4
CC=CC(O)=C[NH-],6
O=C1CCC2(O)CC12O,8
CNC(C)(C#N)C#N,7
CCCC(C)CO,6
CC(=O)C1OCC2NC21,8
C#C,4
C#C,7
CC#CC(C)O,5
C#C,5
CC(O)C(C)O,5
N#CCC(N)CO,6
[NH3+]CCO,3
C[NH+]1CC1C=CON,7
CC1C=CCC1C,6
CC1C2CC2C12CC2O,8
COC1CCC1,5
C#C,3
C#C,4
CC(O)CCCCO,7
CC[NH+]1CC1C,5
CCCCOC,5
CCC1C(O)C1(C)N,7
C#C,8
CCOC[NH-],4
COCC(C)O,5
OCCNO,4
CCCC(C)O,5
CC(CC=O)C1CO1,7
O=CC1NC1C1CCC1,8
OC1CC(O)C1,5
C=CCCC,4
CCCNC(=N)OC,7
O=C1CCC1CCO,7
CC12C3CC1(O)CC32,7
CC(O)C#N,4
CCNC=O,4
CCC(=O)CC,5
CC1CC(C)C2CC2O1,8
CC1C(C)(C)C1(C)O,7
CCC=O,3
NC1=NC(CO)=NC1=O,8
C=CC1=CON=C1,6
CC1C[NH+]1CCOC=O,8
CCCO,3
N=C(F)N=CN,5
C1=CC2=C(N=CO2)OC1,8
NC1=C(O)NC(O)=N1,7
C#C,8
CCNC(N)=O,5
CCCCC,4
CC#CCCC,5
CC[NH2+]CC(O)C#N,7
C#C,6
CCCCCOC,6
O=CCCCO,5
O=C1CCC1(O)CO,7
CCC1=CC2CC(C1)O2,8
CC=CN=CN,5
C#C,8
CC=CN,3
CCOC,3
CC1=C(C)C(N)=CC1=O,8
[NH3+]CCCC1CN1,6
OC12C3[NH2+]CC4C3C1C42,8
CC(O)C=CN,5
CCCOCC,5
CC(O)C=O,4
O=CC1CC[NH2+]1,5
COCC1(C)NC1C=O,8
CCC1COC1CC,7
CCC1CCC1C,6
C#CC(N)=O,4
CCCCCC,5
CCC1=C(N)NN=N1,7
CC=CCC,4
CCOCC#N,5
CCOC,3
CC1=CC=CN1CC#N,8
NCC1OCCC1O,7
CC1COCC2CC2O1,8
C=CCC,3
CC[NH+]1CC1C,5
[NH3+]CCC=O,4
CC1(C#N)OC12COC2,8
CCC1CCOC1,6
CC1CC(C2CO2)CO1,8
O=CO,3
CC(=O)C=CN,5
CCCC#N,4
CO[CH+][NH-],3
COC1C(O)C2CC21,7
CC(C)C#N,4
C#C,3
CCOC=O,4
CCC(C)O,4
C#C,3
CCC=O,3
O=C1OC2C=NN1C2=O,8
C#C,6
[CH2+]C=C[NH-],3
COCOC(C=O)C=O,8
CCCCC,4
C=NC1=NNC=C1,6
C=CCC=CC1CC1,7
N#CCO,3
O=CC1C2C=CC13OC23,8
CC=NC=CO,5
CCCOC,4
CCCC,3
CCCCOC,5
CNC1=CN=C(N)O1,7
CCC[NH2+]C,4
CC1=CN=CN1C,6
CCCC1CC2CC1C2,8
CCC1OC1C,5
CC(C)O,3
CC(CCCC#N)=NO,8
CCOC,3
CC1=CCC2C3OC3C12,8
CCC1CC2C(C)C[NH+]12,8
CC1CCCC1C=O,7
C=CC=CC,4
C#C,3
CC1(C)OCC2CC2O1,8
CC=CCC,4
CCOCCCO,6
CC1C=CC(C)OC1,7
CCC=O,3
COC(=O)C(C#N)CO,8
CCCO,3
CC(C)C,3
CC1CC(C=O)[NH+]1C,7
CCCC,3
CNC1=NON=C1,6
CC=CCNO,5
CCC1OC1C,5
CCOC[NH-],4
CCCC,3
C[NH2+][CH+]OCC[NH3+],6
CC(O)C=CCO,6
CC12CC1C(=O)N1[N-]C12,8
CCOC(C)=O,5
[CH2+]OC(C#N)CC,6
CCCC=CCC=O,7
CC(C)(C)CO,5
C#C,3
CCC=CN=CCC,7
CC(=O)CCCO,6
O=C1CCCCCO1,7
OCCCC1C[NH2+]1,6
CCC(C)C,4
CCCCC,4
CCOCC=O,5
CC=C(C)N,4
CC1CC1,3
C[NH2+]CC1CC(C)N1,7
OCCO,3
C#C,5
O=CO,4
C#C,7
OC1CC1,3
CCC1OC1CO,6
CCOC,3
C#C,6
COCCO,4
CC=C1COC1,5
C#C,7
CCC=O,3
CC1CC1O,4
COC(C)CC[NH3+],6
CNCCOC,5
C#C,3
CCOC,3
NC(=O)CCO,5
[CH2+]OCCC,4
N#CCCO,4
CCCC=O,4
O=CC1(CC2CC2)CN1,8
CNCCC([NH-])O,6
CC1C=CCC1NO,7
OCC1CO1,4
CCCC=O,4
CCCN,3
N#CCCC[NH3+],5
CCCC,3
C=CCCCC,5
CC(O)C[NH3+],4
CC(=O)CO[CH+][NH-],6
CC(=O)C1CCCC1,7
CNC(C)=O,4
CCC(=O)C[NH2+][CH+]OC,8
CC(C#N)(C#N)C(N)=O,8
C#C,3
CCC1C2CCC1C2,7
CCCC=O,4
[NH3+]C1CC1CCO,6
C1CC2CC1C1C3C2[NH+]13,8
O=CCC1CN1,5
OC12C3CC4(C3)C3C1C342,8
C#CC(C)O,4
C1=CCOCCC1,6
C#C,3
CCCCO,4
CCCOC,4
CCCO,3
CCCC(C)O,5
OCC1CCC1O,6
C#CC=O,3
CCON(C=O)C=NC,8
OCCO,3
COC1(CO)CC2OC21,8
CNC(C)CO,5
CCCC=O,4
C#C,7
CC=C(C=O)C=O,6
CC1C(CO)C1(C)C,7
CC=CCC,4
CCCC(C)=O,5
CCCC,3
CCCO,3
CC1CO1,3
N#CCC1CN1,5
C=CCCCC,5
C#C,8
COC[NH-],3
