Smiles,NumAtoms
COC(=O)C1CCC(c2ccncc2Cl)N(C(=O)OC(C)(C)C)C1,23
C=CC=CNC(=CC1=NC1=C(C)N=C1N=NN=C1C)C(=O)NCC=CC=CC,27
C[NH2+]CCCC([NH3+])Cc1ccccn1,13
COC(=Cc1ccccc1)C1=[NH+]C(C(=O)NCc2ccccc2Cl)=C[SH]1C,26
CC1(C)CCN(C(=O)Cc2cc(CBr)ccn2)C1(C)c1ccc(Cl)cc1Cl,26
CC=CC(Br)=CNC(=O)N(CC1CCCO1)C1CCC[NH+]1CCC,23
C=CCN(C)C(=O)NCC=CC=CNC(C)=O,16
C=CC=CCC(=O)NC=CNC(=O)C(C)C,15
CC(=O)NC=CC=C[NH+]=C(N)N1CCCC(N2CCOC2=O)C1,22
CC=CC(=O)NC[SH]1C2C(=O)NC(=O)CSCC(=O)N2CCN2C(=O)SCC21C,28
C=c1oc2c(C[NH+]3C(C(=O)[O-])CCC3C3(O)CC(O)C3)cc3c(c2[nH]c2cccc1c2C(=O)[O-])C1(CN1O)C3=O,39
CCC=CC=CNC(=O)C(C)NC(N)=S,14
C=Cc1oc2c3c4c5c6c2c1C1(C3)C(C(=O)C1(O)O6)c1c-5nc-4c(C2CN(C(=O)CCC(F)(F)F)CCO2)c1C,39
CC1(C(=O)[O-])Oc2ccc(Nc3ccccc3SCC#N)c(n2)C1C(N)=O,26
COc1cc2c(c3c1OC(C1CCCO1)C3)CCC2c1ccc(OS(=O)(=O)N2CCCCC2)cc1,34
Cc1ccc(C(=O)N2CCN(C)C(=O)C2(C)CC=O)cc1[N+](=O)[O-],23
Cc1oc2c3c1C(CC(=O)Nc1ccccc1S(C)(=O)=O)N(N)CC2(Cl)C=C3Cl,28
CC1C2CC[NH+](C)C3C2CN2CC4C5C(=O)[NH+]6CCC3(CC6)C(=O)C2(C)C[NH+]4CC15,29
C=COC1C([NH3+])C23C(O)c4c(F)cccc4NC2C2C1(O)CC1C(C)CCCC1C23C(=O)[O-],32
CC(=NON)SCC(=O)NCCN,12
N#CC(c1ccc2c3c1OC1C(CCC1(O)C3=O)C2)c1cccc(NC(=O)c2cc[nH]n2)c1C(=O)[O-],35
COC1=CC(=O)c2c(C(F)F)oc3c(OC)cc(COCC(=O)N4CCC5C(CCC[NH+]5C)C4)c1c23,35
CC1(O)CCCC([NH2+]CC23CC(C)(C)C4(C)CC5(COCCO5)C2CC(O)C34C2C=C3OC4(C2)OC3=C4O)C1,38
CC1(C)NC(=O)N(CCS(=O)(=O)c2ccc(Cl)c(F)c2)C12C=CC1=CC2=[N+]2CCCCCC2CC1(F)F,36
Cc1nc2ccccc2c(=O)n1CCOC=CC=CS(N)(=O)=O,22
Cc1cc(Cl)cc2c1C(=O)N(Cc1cn(CCC(C)C)c(C)n1)C2,23
CCC12CC3(C(C(O)COCC(C)(C)C[NH+]4CCCCCC4)(C4CC4)[NH+](C)C)CC34C3CC35CC1C24CO5,37
Cc1ccc2c(c1[N+](=O)[O-])C1(CC1c1cccc(Cl)c1Cl)C(C(N)=O)C(Br)CNC2,29
CNC(=S)NC=CC=C(Cl)CC(=O)Nc1cccc(C#N)c1,21
C=C1CC12c1cc3c(c(C)c1N2C(C)=O)Cc1c(ccc2c1OCCO2)S(=O)(=O)[N-]c1cncc(c1)S(=O)(=O)[N-]3,39
Cc1ccc(C(C)CNC(=O)C2CCOC2CC(F)(F)F)cc1F,23
COc1c2c3c4c5c1C1(CC1(C4)O5)c1cccc4c1OC3(C4)C1=C(C(C)CC(C)C1)N2CCC[NH3+],34
CON=CC[NH2+]CCNC(=O)CSCC(F)(F)F,17
CCCC,3
CCNC=CN,5
OO,12
CC(CN1CC23C(=O)C(C)(C(=O)c4ccsc42)c2nn(C)c3c2C1=O)c1ccc(F)cc1F,32
CN=CNC(=O)COc1ccccc1,13
CCCCCCCC,7
O=C1CCC2CC(C1)CC1(C2)SC2CN(N=NS2(=O)=O)C1=CC=C1CCN1CCn1cnnn1,33
CC12OC(=O)C3=Cc4cc(Br)c5nncn5c4C(C1=O)C(C2=O)C(Oc1cccc2c1OC(Cl)OC2)C3=O,37
C=C(CF)C(O)(C1=c2ccccc2=C1F)C1CCC2=C3C(C#N)=CC=C3S(=O)(=O)NC(C3CCOC3)C21Cl,37
CSC(C)(C)CNC(=O)C(C=CC=C(C)F)NC(C)=O,19
CC(=O)CSC(C)C(N)=O,9
CNc1c(CC2([NH3+])C3(OC4(F)C=C3OC43CC3(C)[O-])C3[NH2+]C45C6CCCCC6C4C(=O)C352)[nH]c2c(Br)cccc12,39
Oc1nccc(C2CC=Cc3ccccc32)n1,16
C=COCCC[NH2+]CCCCSC=N,13
C=CCn1c2nc(c(Sc3ccccc3)c1=O)SC(COC(=O)N1CCc3ccccc3C1)S2,33
CC(C)C(OC(=O)Nc1ccc(C(C)N2CCOCC2)cc1)c1nccs1,26
NS(=O)(=O)C=CC=CCOCCOCCOC1CCS(=O)(=O)C1,22
CC=CC=CCC1C(C#N)=CC=C1NC=NN,16
CCCC(SCC(=O)N1CCCCC1C)=C1N=CN(CCc2cc(C)ccc2C)C1=O,30
CC(=CC=CCl)Cc1[nH+]ccn1C,12
CCNC=O,4
C=CC=NN1N=C(C(NCSCC(=O)N(C)C)c2ccc(F)cc2)CC1C,26
C=CSCCNC(=O)C(CC)c1ccccc1,16
CC=CSCNC=O,7
CC(C)c1nn(C)cc1CN1CCCCCC1,16
CNCCCNCC=CC=CC#N,12
CCCCCNC(=O)CCCOCC(C)C,15
C[NH2+]CCNCC(C)(C)C(C)CCc1ccc(O)cc1,19
C=CC(=CC)S(=O)(=O)N1CCN(C(=O)C(=O)N2CCc3ccccc3C2)CC1,27
C=CC=CC(CC(C)(C)OC(=O)N1C(=O)C2CC2C1COc1cc(C#N)cc(Cl)n1)C(C)=O,32
COC=CC=CNC(=O)CCCNCc1cccc(Nc2ccccc2)c1,26
CC([NH2+]CC1CCCCO1)c1ccc2c(c1)CCC2,18
CC1(C(=O)[O-])OC2(CCC2)C2(C[NH3+])CCC3(C([O-])=CC3(C)C13OCOC3=O)N(C(=O)c1c(Cl)sc(Cl)c1F)C2,38
